,GeneNames,log2FC,p-value
426,LOC_Os01g70270.3,0.628031223,0.000164735
427,LOC_Os10g35630.1,1.584962501,0.000165839
428,LOC_Os02g17500.3,1.584962501,0.000165839
429,LOC_Os06g51029.1,0.460973783,0.000166537
430,LOC_Os07g04240.1,0.460973783,0.000166537
431,LOC_Os03g17174.1,-3.058893689,0.000180638
432,LOC_Os03g51050.1,1.637429921,0.000182442
433,LOC_Os02g56110.1,1.637429921,0.000182442
434,LOC_Os02g49760.3,1.637429921,0.000182442
435,LOC_Os03g17180.1,1.187627003,0.000185934
436,LOC_Os03g07800.1,1.187627003,0.000185934
437,LOC_Os06g02540.1,1.0,0.000200966
438,LOC_Os02g09810.3,2.584962501,0.000200426
439,LOC_Os02g57720.1,2.584962501,0.000200426
440,LOC_Os06g08250.1,2.584962501,0.000200426
441,LOC_Os06g03860.3,1.415037499,0.000206412
442,LOC_Os02g39930.1,1.263034406,0.000209084
443,LOC_Os02g07360.1,-1.836501268,0.000211987
444,LOC_Os05g04630.1,0.7744403,0.000212966
445,LOC_Os01g25600.1,-2.754887502,0.00021828
446,LOC_Os12g18770.1,1.836501268,0.000228535
447,LOC_Os03g55100.1,1.938599455,0.00022833
448,LOC_Os06g05400.1,1.938599455,0.00022833
449,LOC_Os04g55220.1,1.938599455,0.00022833
450,LOC_Os05g38219.1,2.070389328,0.000233409
451,LOC_Os02g49320.1,2.070389328,0.000233409
452,LOC_Os07g14850.1,-2.584962501,0.000232645
453,LOC_Os12g34860.2,-2.584962501,0.000232645
454,LOC_Os01g55270.1,3.700439718,0.0002312
455,LOC_Os03g55560.1,3.700439718,0.0002312
456,LOC_Os08g39150.1,3.700439718,0.0002312
457,LOC_Os05g33840.1,-2.209453366,0.000232169
458,LOC_Os08g16480.3,-2.415037499,0.000239009
459,LOC_Os07g08840.1,0.7589919,0.000243802
460,LOC_Os01g61400.1,0.874469118,0.000269186
461,LOC_Os09g24710.3,1.5360529,0.000270995
462,LOC_Os01g19450.1,-1.277984747,0.000276317
463,LOC_Os01g73450.1,-4.169925001,0.000277557
464,LOC_Os07g46590.1,0.813586876,0.000297992
465,LOC_Os01g61320.2,2.906890596,0.000301869
466,LOC_Os02g23890.1,2.906890596,0.000301869
467,LOC_Os05g38290.1,2.906890596,0.000301869
468,LOC_Os03g20380.4,1.584962501,0.0003046
469,LOC_Os05g14180.1,-1.540568381,0.000307521
470,LOC_Os05g06310.1,-1.540568381,0.000307521
471,LOC_Os03g02970.1,1.160464672,0.000337508
472,LOC_Os01g66500.1,-2.078002512,0.000339561
473,LOC_Os09g07120.1,0.941106311,0.000353128
474,LOC_Os02g14730.1,1.64385619,0.000352603
475,LOC_Os05g37330.1,1.64385619,0.000352603
476,LOC_Os11g01590.1,1.64385619,0.000352603
477,LOC_Os02g02840.1,-2.700439718,0.000356827
478,LOC_Os11g11000.3,0.612976877,0.00036382
479,LOC_Os01g18630.1,0.64385619,0.000363341
480,LOC_Os04g41470.1,1.0,0.000365689
481,LOC_Os06g43860.4,-1.263034406,0.000367465
482,LOC_Os03g55670.1,-1.263034406,0.000367465
483,LOC_Os07g05480.1,-1.520832163,0.000373515
484,LOC_Os08g40510.1,2.502500341,0.000372565
485,LOC_Os07g28480.1,2.502500341,0.000372565
486,LOC_Os07g12200.1,0.807354922,0.00037196
487,LOC_Os04g45600.1,-2.237039197,0.000383273
488,LOC_Os06g09610.2,-2.237039197,0.000383273
489,LOC_Os06g39260.1,1.777607579,0.000384782
490,LOC_Os03g04710.1,1.874469118,0.000396697
491,LOC_Os10g18340.1,1.169925001,0.000412975
492,LOC_Os02g45670.1,2.0,0.000418798
493,LOC_Os03g02540.1,2.0,0.000418798
494,LOC_Os04g43550.1,2.0,0.000418798
