,GeneNames,log2FC,p-value
8666,LOC_Os05g05280.1,0.0,1.0
8667,LOC_Os02g50560.1,-1.0,0.356424237
8668,LOC_Os04g49130.1,-1.0,0.698015283
8669,LOC_Os02g39730.1,0.415037499,0.70761532
8670,LOC_Os07g39900.1,-0.678071905,0.783549278
8671,LOC_Os02g12740.1,-0.362570079,1.0
8672,LOC_Os01g65200.2,0.415037499,0.70761532
8673,LOC_Os01g15840.1,0.0,1.0
8674,LOC_Os04g47700.1,-1.0,1.0
8675,LOC_Os08g15840.1,-2.0,0.38910012
8676,LOC_Os03g63970.1,0.169925001,0.627080764
8677,LOC_Os04g45910.1,-0.584962501,1.0
8678,LOC_Os02g03100.2,-0.152003093,0.821724155
8679,LOC_Os09g32690.2,-1.0,1.0
8680,LOC_Os02g27470.1,0.0,0.802674019
8681,LOC_Os05g30880.1,-1.584962501,0.633460072
8682,LOC_Os07g34390.1,0.0,1.0
8683,LOC_Os03g56470.1,-1.0,0.739838974
8684,LOC_Os08g36590.1,0.0,1.0
8685,LOC_Os05g25450.2,-2.0,0.38910012
8686,LOC_Os07g26210.1,0.0,0.760104678
8687,LOC_Os10g21346.1,0.0,1.0
8688,LOC_Os03g52670.1,-0.415037499,1.0
8689,LOC_Os06g42850.1,-0.584962501,1.0
8690,LOC_Os01g74520.1,-0.099535674,0.712515394
8691,LOC_Os02g01020.1,-1.0,1.0
8692,LOC_Os01g74200.1,-1.0,1.0
8693,LOC_Os02g53210.7,0.0,1.0
8694,LOC_Os12g43520.1,-1.0,0.739838974
8695,LOC_Os07g43322.1,0.0,1.0
8696,LOC_Os07g37140.1,0.0,1.0
8697,LOC_Os05g24160.1,0.0,1.0
8698,LOC_Os03g03650.1,-0.807354922,0.764224471
8699,LOC_Os03g35340.1,-0.263034406,1.0
8700,LOC_Os07g10110.1,0.415037499,0.70761532
8701,LOC_Os01g71220.1,-1.0,1.0
8702,LOC_Os03g45344.1,-1.0,0.698015283
8703,LOC_Os04g53170.1,-0.584962501,1.0
8704,LOC_Os06g49740.1,1.0,0.417521697
8705,LOC_Os02g42374.5,-1.0,1.0
8706,LOC_Os10g25090.1,-1.584962501,0.633460072
8707,LOC_Os04g40080.1,-0.115477217,0.841250806
8708,LOC_Os10g40610.1,-1.0,1.0
8709,LOC_Os09g28690.1,-1.0,0.698015283
8710,LOC_Os07g06710.1,0.0,1.0
8711,LOC_Os08g42950.1,0.0,1.0
8712,LOC_Os05g05480.2,-1.115477217,0.356532274
8713,LOC_Os02g55260.1,-0.485426827,1.0
8714,LOC_Os05g37120.1,0.0,0.776378797
8715,LOC_Os03g24040.1,-0.222392421,1.0
8716,LOC_Os04g40840.1,-0.280107919,1.0
8717,LOC_Os03g18150.1,0.0,1.0
8718,LOC_Os06g04900.1,-1.584962501,0.633460072
8719,LOC_Os06g50310.1,0.0,1.0
8720,LOC_Os04g45990.1,0.584962501,0.662011918
8721,LOC_Os10g08840.1,0.0,0.776378797
8722,LOC_Os04g13350.1,-0.321928095,1.0
8723,LOC_Os01g48830.2,0.0,0.802674019
8724,LOC_Os02g53270.1,0.415037499,0.70761532
8725,LOC_Os06g48960.1,0.584962501,0.662011918
8726,LOC_Os08g34970.1,-0.125530882,0.835147402
8727,LOC_Os11g36050.1,-1.584962501,0.633460072
8728,LOC_Os01g61630.1,0.0,1.0
8729,LOC_Os03g53550.1,0.415037499,0.70761532
8730,LOC_Os02g26860.1,-0.263034406,1.0
8731,LOC_Os03g37470.1,-0.169925001,1.0
8732,LOC_Os02g49610.1,0.0,1.0
8733,LOC_Os12g40500.3,0.0,1.0
8734,LOC_Os04g44740.1,-1.0,1.0
8735,LOC_Os09g32250.2,-0.584962501,1.0
8736,LOC_Os02g47890.1,0.0,1.0
8737,LOC_Os11g36390.1,0.0,0.682963624
8738,LOC_Os02g52370.1,0.584962501,0.662011918
8739,LOC_Os06g20340.1,-1.0,0.698015283
8740,LOC_Os01g08400.1,0.0,0.776378797
8741,LOC_Os08g05510.1,-1.0,1.0
8742,LOC_Os08g31840.4,-0.584962501,1.0
8743,LOC_Os02g09480.1,-1.0,0.698015283
8744,LOC_Os08g01390.1,0.0,0.790430352
8745,LOC_Os02g43150.2,-0.736965594,0.73876108
8746,LOC_Os02g57420.1,-0.415037499,1.0
8747,LOC_Os11g34360.1,0.0,0.790430352
8748,LOC_Os04g39629.1,-0.415037499,1.0
8749,LOC_Os03g44530.1,0.0,1.0
8750,LOC_Os01g55750.1,0.0,0.760104678
8751,LOC_Os06g06510.1,-1.0,1.0
8752,LOC_Os06g08530.2,0.074000581,0.424442011
8753,LOC_Os03g55310.1,0.0,1.0
8754,LOC_Os10g40880.1,0.0,1.0
8755,LOC_Os09g33950.1,0.0,0.65862756
8756,LOC_Os01g73960.1,0.0,1.0
8757,LOC_Os12g13660.1,0.0,1.0
8758,LOC_Os04g45460.1,-0.263034406,1.0
8759,LOC_Os02g39600.1,-1.584962501,0.633460072
8760,LOC_Os05g14880.1,-1.584962501,0.633460072
8761,LOC_Os08g32980.1,1.0,0.417521697
8762,LOC_Os06g08750.1,-0.736965594,0.73876108
8763,LOC_Os01g60260.2,0.584962501,0.662011918
8764,LOC_Os01g64760.1,-0.321928095,1.0
8765,LOC_Os05g48160.3,0.0,1.0
8766,LOC_Os02g02960.2,0.584962501,0.662011918
8767,LOC_Os06g43140.1,-2.0,0.38910012
8768,LOC_Os12g03190.1,-1.584962501,0.633460072
8769,LOC_Os07g38410.1,-0.222392421,1.0
8770,LOC_Os06g43790.1,0.0,1.0
8771,LOC_Os03g63920.1,0.415037499,0.70761532
8772,LOC_Os05g41220.2,-1.0,1.0
8773,LOC_Os02g57590.1,-1.0,0.698015283
8774,LOC_Os05g31690.1,0.0,1.0
8775,LOC_Os01g03940.1,-1.0,0.698015283
8776,LOC_Os03g23980.1,-0.777607579,0.645784007
8777,LOC_Os03g37320.1,-1.584962501,0.633460072
8778,LOC_Os01g56130.1,-1.584962501,0.633460072
8779,LOC_Os08g39130.1,-1.0,1.0
8780,LOC_Os02g26440.1,-1.0,1.0
8781,LOC_Os01g62210.2,-1.0,0.739838974
8782,LOC_Os05g38580.2,-1.0,1.0
8783,LOC_Os04g33470.2,0.584962501,0.357888847
8784,LOC_Os01g54370.1,0.0,1.0
8785,LOC_Os01g53910.1,0.415037499,0.70761532
8786,LOC_Os09g20390.1,-1.584962501,0.633460072
8787,LOC_Os05g25770.1,-0.584962501,1.0
8788,LOC_Os09g28100.1,0.0,1.0
8789,LOC_Os06g02250.1,-0.415037499,1.0
8790,LOC_Os09g07460.1,1.0,0.417521697
8791,LOC_Os08g27030.1,-0.584962501,1.0
8792,LOC_Os05g04190.2,0.0,0.760104678
8793,LOC_Os07g01930.1,0.0,0.776378797
8794,LOC_Os01g40840.2,0.289506617,0.37614811
8795,LOC_Os11g14170.1,-0.415037499,1.0
8796,LOC_Os07g46430.2,0.415037499,0.70761532
8797,LOC_Os02g08260.1,-0.485426827,1.0
8798,LOC_Os04g32970.1,-1.0,1.0
8799,LOC_Os06g50360.2,0.0,1.0
8800,LOC_Os03g48180.2,-0.459431619,1.0
8801,LOC_Os01g52720.1,0.0,1.0
8802,LOC_Os01g01295.1,0.0,1.0
8803,LOC_Os05g08430.1,0.0,1.0
8804,LOC_Os04g52760.1,-0.736965594,0.73876108
8805,LOC_Os02g06810.1,0.584962501,0.662011918
8806,LOC_Os03g60800.1,0.584962501,0.357888847
8807,LOC_Os01g15470.3,-1.584962501,0.633460072
8808,LOC_Os09g24910.1,-2.0,0.38910012
8809,LOC_Os03g16060.1,-1.584962501,0.633460072
8810,LOC_Os02g10770.2,0.0,1.0
8811,LOC_Os10g36810.1,0.0,1.0
8812,LOC_Os09g31360.1,-1.0,1.0
8813,LOC_Os08g01290.1,0.0,1.0
8814,LOC_Os08g08050.1,-0.415037499,1.0
8815,LOC_Os01g61250.1,-1.0,1.0
8816,LOC_Os06g45300.1,-0.584962501,1.0
8817,LOC_Os01g24030.2,0.415037499,0.70761532
8818,LOC_Os10g30540.1,0.0,1.0
8819,LOC_Os04g31620.1,-0.321928095,1.0
8820,LOC_Os05g26926.1,-0.347923303,1.0
8821,LOC_Os01g42870.1,-0.415037499,1.0
8822,LOC_Os03g13950.1,-1.415037499,0.365278676
8823,LOC_Os02g35840.1,-1.584962501,0.633460072
8824,LOC_Os03g29260.2,-1.0,1.0
8825,LOC_Os06g39230.1,0.584962501,0.662011918
8826,LOC_Os12g02390.1,-0.440572591,0.862147325
8827,LOC_Os11g02464.1,0.169925001,0.627080764
8828,LOC_Os08g34984.1,-1.584962501,0.633460072
8829,LOC_Os12g41962.4,-0.415037499,1.0
8830,LOC_Os02g34430.1,0.485426827,0.392631489
8831,LOC_Os05g01780.1,0.415037499,0.70761532
8832,LOC_Os03g05200.2,0.584962501,0.662011918
8833,LOC_Os10g38350.1,-1.0,1.0
8834,LOC_Os07g43510.1,-1.584962501,0.633460072
8835,LOC_Os09g23370.1,-1.0,1.0
8836,LOC_Os08g33740.1,-1.0,0.698015283
8837,LOC_Os10g38540.1,-1.584962501,0.633460072
8838,LOC_Os03g12120.1,0.0,1.0
8839,LOC_Os03g18420.1,1.0,0.417521697
8840,LOC_Os02g08200.1,0.0,1.0
8841,LOC_Os03g46460.1,-1.584962501,0.633460072
8842,LOC_Os01g01780.1,0.0,1.0
8843,LOC_Os01g58020.1,-1.584962501,0.633460072
8844,LOC_Os12g41860.1,0.0,0.776378797
8845,LOC_Os01g18280.1,0.0,1.0
8846,LOC_Os04g32350.1,0.0,1.0
8847,LOC_Os05g45890.2,-1.584962501,0.633460072
8848,LOC_Os03g21510.3,0.0,1.0
8849,LOC_Os10g36490.1,-0.584962501,1.0
8850,LOC_Os12g31800.1,-1.0,1.0
8851,LOC_Os12g42600.1,-0.584962501,1.0
8852,LOC_Os09g35000.1,0.0,1.0
8853,LOC_Os12g09280.2,-0.584962501,1.0
8854,LOC_Os03g14915.1,0.0,1.0
8855,LOC_Os07g31270.1,-0.652076697,0.813447599
8856,LOC_Os05g06420.1,0.0,1.0
8857,LOC_Os08g37810.1,-1.584962501,0.633460072
8858,LOC_Os02g48370.1,-1.0,0.739838974
8859,LOC_Os07g41250.1,0.0,1.0
8860,LOC_Os01g70800.1,0.0,0.645422974
8861,LOC_Os11g31950.1,-1.584962501,0.633460072
8862,LOC_Os08g07960.2,0.584962501,0.662011918
8863,LOC_Os01g36600.1,0.0,1.0
8864,LOC_Os04g41875.1,-1.0,1.0
8865,LOC_Os08g38200.1,0.584962501,0.662011918
8866,LOC_Os05g08920.1,0.584962501,0.662011918
8867,LOC_Os03g49640.1,-0.415037499,1.0
8868,LOC_Os04g01570.1,-1.0,1.0
8869,LOC_Os04g34000.1,-0.263034406,1.0
8870,LOC_Os01g32710.1,0.0,1.0
8871,LOC_Os01g19150.3,-1.0,0.356424237
8872,LOC_Os05g43640.1,-1.0,1.0
8873,LOC_Os03g49420.1,0.415037499,0.424011311
8874,LOC_Os03g54100.1,1.0,0.417521697
8875,LOC_Os07g09510.1,1.0,0.417521697
8876,LOC_Os02g36280.1,0.0,1.0
8877,LOC_Os05g42230.1,0.0,1.0
8878,LOC_Os06g08180.1,0.0,1.0
8879,LOC_Os01g55040.1,0.0,0.760104678
8880,LOC_Os04g53680.1,-0.584962501,1.0
8881,LOC_Os05g38810.1,1.0,0.417521697
8882,LOC_Os04g49580.2,-0.736965594,0.73876108
8883,LOC_Os02g47800.1,0.415037499,0.70761532
8884,LOC_Os01g15310.1,0.0,0.760104678
8885,LOC_Os05g38460.1,0.584962501,0.662011918
8886,LOC_Os03g50730.1,0.0,1.0
8887,LOC_Os02g45780.1,0.0,1.0
8888,LOC_Os10g25550.1,0.0,1.0
8889,LOC_Os03g08170.1,0.584962501,0.662011918
8890,LOC_Os05g23880.1,-0.485426827,1.0
8891,LOC_Os07g02280.1,1.0,0.417521697
8892,LOC_Os10g42230.3,-1.0,1.0
8893,LOC_Os01g54880.1,-1.0,1.0
8894,LOC_Os07g39010.2,0.415037499,0.424011311
8895,LOC_Os04g58504.1,-0.584962501,1.0
8896,LOC_Os12g03050.1,0.0,1.0
8897,LOC_Os03g02900.1,-0.584962501,1.0
8898,LOC_Os04g55360.1,0.584962501,0.662011918
8899,LOC_Os08g05630.1,-0.485426827,1.0
8900,LOC_Os03g11660.1,0.415037499,0.424011311
8901,LOC_Os12g03720.1,-0.736965594,0.623424804
8902,LOC_Os01g18850.1,0.0,1.0
8903,LOC_Os03g55010.1,0.0,1.0
8904,LOC_Os01g37990.1,0.0,1.0
8905,LOC_Os05g02790.1,0.0,1.0
8906,LOC_Os02g48340.2,-0.415037499,1.0
8907,LOC_Os10g35480.2,-0.584962501,1.0
8908,LOC_Os09g35670.2,-1.0,1.0
8909,LOC_Os01g67360.1,-1.584962501,0.633460072
8910,LOC_Os01g07100.1,-1.0,0.698015283
8911,LOC_Os07g37290.1,0.0,1.0
8912,LOC_Os12g03060.1,-0.736965594,0.73876108
8913,LOC_Os03g11560.1,-0.415037499,1.0
8914,LOC_Os06g47210.1,-2.0,0.38910012
8915,LOC_Os05g05200.1,0.0,1.0
8916,LOC_Os08g42530.1,0.0,1.0
8917,LOC_Os02g51850.1,-0.736965594,0.73876108
8918,LOC_Os07g40620.1,-0.415037499,1.0
8919,LOC_Os01g73150.1,0.0,1.0
8920,LOC_Os01g16090.1,0.514573173,0.329559097
8921,LOC_Os09g26200.1,0.0,1.0
8922,LOC_Os06g06820.1,0.0,0.760104678
8923,LOC_Os04g30890.1,0.0,1.0
8924,LOC_Os08g32080.1,-1.0,1.0
8925,LOC_Os03g21990.1,0.0,0.645422974
8926,LOC_Os01g62410.1,-0.584962501,1.0
8927,LOC_Os04g55690.1,-1.0,1.0
8928,LOC_Os07g44640.1,0.0,1.0
8929,LOC_Os02g51430.2,-0.295455884,1.0
8930,LOC_Os03g12236.1,0.0,1.0
8931,LOC_Os08g17820.1,-0.584962501,1.0
8932,LOC_Os12g32230.1,0.584962501,0.357888847
8933,LOC_Os01g07370.2,-1.0,1.0
8934,LOC_Os01g22550.1,0.0,1.0
8935,LOC_Os07g04530.1,-0.584962501,1.0
8936,LOC_Os04g52280.1,-1.0,1.0
8937,LOC_Os02g55530.1,-0.584962501,1.0
8938,LOC_Os03g07890.1,-0.736965594,0.73876108
8939,LOC_Os05g38140.1,0.584962501,0.662011918
8940,LOC_Os03g42110.1,-0.678071905,0.783549278
8941,LOC_Os01g64010.1,0.0,0.760104678
8942,LOC_Os10g04620.2,0.263034406,0.395063924
8943,LOC_Os03g60870.1,0.415037499,0.70761532
8944,LOC_Os03g59120.1,-1.0,0.698015283
8945,LOC_Os08g34340.1,0.584962501,0.357888847
8946,LOC_Os07g49390.1,-1.0,1.0
8947,LOC_Os11g12800.2,-1.0,1.0
8948,LOC_Os07g29600.1,-0.584962501,1.0
8949,LOC_Os08g14610.1,0.0,1.0
8950,LOC_Os03g45180.2,0.0,1.0
8951,LOC_Os02g05470.1,-0.387023123,1.0
8952,LOC_Os09g32200.1,-2.0,0.38910012
8953,LOC_Os04g45140.1,-1.0,0.698015283
8954,LOC_Os06g24594.2,0.0,1.0
8955,LOC_Os01g27730.1,0.2410081,0.413318993
8956,LOC_Os02g46320.1,-0.584962501,1.0
8957,LOC_Os10g42320.1,-0.678071905,0.783549278
8958,LOC_Os07g41694.1,0.0,0.802674019
8959,LOC_Os03g59710.1,0.0,1.0
8960,LOC_Os10g40390.1,-0.152003093,0.821724155
8961,LOC_Os03g19680.1,0.0,0.776378797
8962,LOC_Os10g43040.1,0.0,1.0
8963,LOC_Os06g02570.1,0.584962501,0.662011918
8964,LOC_Os05g51390.1,0.584962501,0.662011918
8965,LOC_Os01g57720.1,-0.584962501,1.0
8966,LOC_Os10g40250.1,1.0,0.417521697
8967,LOC_Os06g43570.1,0.0,1.0
8968,LOC_Os06g48520.1,-1.584962501,0.633460072
8969,LOC_Os04g54380.1,-1.415037499,0.365278676
8970,LOC_Os01g73690.1,-1.584962501,0.633460072
8971,LOC_Os10g30520.1,-1.0,1.0
8972,LOC_Os10g33970.1,-1.584962501,0.633460072
8973,LOC_Os03g50210.1,1.0,0.417521697
8974,LOC_Os11g42510.2,0.0,1.0
8975,LOC_Os02g46220.1,0.0,1.0
8976,LOC_Os08g01830.1,0.0,1.0
8977,LOC_Os11g29810.1,1.0,0.417521697
8978,LOC_Os06g49660.1,-0.807354922,0.764224471
8979,LOC_Os09g23530.1,-1.584962501,0.633460072
8980,LOC_Os03g08754.1,-0.263034406,1.0
8981,LOC_Os07g38850.1,0.415037499,0.424011311
8982,LOC_Os11g09310.1,0.584962501,0.662011918
8983,LOC_Os07g46760.1,-1.0,1.0
8984,LOC_Os07g44030.1,0.0,1.0
8985,LOC_Os02g04330.2,0.0,1.0
8986,LOC_Os06g08860.1,0.584962501,0.662011918
8987,LOC_Os02g51590.1,-0.807354922,0.764224471
8988,LOC_Os01g47680.1,0.0,1.0
8989,LOC_Os05g03780.1,-0.584962501,1.0
8990,LOC_Os04g35420.1,-1.0,1.0
8991,LOC_Os03g62110.3,-0.584962501,1.0
8992,LOC_Os05g51180.1,0.415037499,0.424011311
8993,LOC_Os01g65310.1,0.0,1.0
8994,LOC_Os09g31466.1,0.0,1.0
8995,LOC_Os03g01570.1,0.0,0.760104678
8996,LOC_Os04g41830.1,0.584962501,0.357888847
8997,LOC_Os03g64200.2,0.415037499,0.70761532
8998,LOC_Os10g38970.1,0.415037499,0.70761532
8999,LOC_Os09g19940.1,0.584962501,0.662011918
9000,LOC_Os12g34524.1,-0.485426827,1.0
9001,LOC_Os11g28300.1,-1.0,0.444143009
9002,LOC_Os08g44180.1,1.0,0.417521697
9003,LOC_Os09g36190.1,-1.584962501,0.633460072
9004,LOC_Os04g51940.3,0.0,1.0
9005,LOC_Os03g08800.1,0.0,1.0
9006,LOC_Os03g12160.2,-0.263034406,1.0
9007,LOC_Os07g45280.1,-1.0,1.0
9008,LOC_Os09g15790.1,-0.584962501,1.0
9009,LOC_Os05g44390.1,0.0,1.0
9010,LOC_Os05g50360.1,0.584962501,0.357888847
9011,LOC_Os01g56640.3,-0.321928095,1.0
9012,LOC_Os03g33012.1,-2.0,0.38910012
9013,LOC_Os05g11010.1,0.415037499,0.70761532
9014,LOC_Os03g15770.1,-0.584962501,1.0
9015,LOC_Os08g27050.1,0.0,1.0
9016,LOC_Os11g41990.1,0.584962501,0.662011918
9017,LOC_Os07g01850.1,0.0,1.0
9018,LOC_Os10g13550.1,0.0,1.0
9019,LOC_Os03g03660.4,0.0,0.776378797
9020,LOC_Os07g36090.3,0.0,1.0
9021,LOC_Os01g40499.2,-0.584962501,1.0
9022,LOC_Os09g04210.1,0.0,1.0
9023,LOC_Os01g09800.1,0.485426827,0.392631489
9024,LOC_Os01g04870.1,-1.0,0.444143009
9025,LOC_Os01g66420.1,0.0,1.0
9026,LOC_Os08g30150.1,0.0,1.0
9027,LOC_Os01g48850.1,-1.584962501,0.633460072
9028,LOC_Os04g52690.1,0.0,1.0
9029,LOC_Os03g62660.1,0.0,1.0
9030,LOC_Os04g45610.1,0.0,1.0
9031,LOC_Os10g32348.1,0.415037499,0.70761532
9032,LOC_Os08g39310.1,0.0,1.0
9033,LOC_Os01g69980.1,-0.362570079,1.0
9034,LOC_Os01g44310.2,1.0,0.417521697
9035,LOC_Os06g10760.1,0.0,1.0
9036,LOC_Os02g39090.1,0.0,1.0
9037,LOC_Os01g14590.1,0.0,1.0
9038,LOC_Os08g44370.1,-1.584962501,0.633460072
9039,LOC_Os05g27880.1,0.0,1.0
9040,LOC_Os09g29170.3,0.0,0.760104678
9041,LOC_Os03g55410.1,1.0,0.417521697
9042,LOC_Os04g56300.1,0.0,1.0
9043,LOC_Os04g57410.1,0.0,0.776378797
9044,LOC_Os06g03660.1,0.415037499,0.70761532
9045,LOC_Os12g03350.1,1.0,0.417521697
9046,LOC_Os01g13700.1,-0.584962501,1.0
9047,LOC_Os01g03510.1,-0.584962501,1.0
9048,LOC_Os04g55850.1,0.0,1.0
9049,LOC_Os08g16600.1,0.0,1.0
9050,LOC_Os01g19400.1,0.0,1.0
9051,LOC_Os12g36194.1,-0.584962501,1.0
9052,LOC_Os02g52230.1,-0.415037499,1.0
9053,LOC_Os04g47240.2,-1.0,0.698015283
9054,LOC_Os05g39800.1,0.584962501,0.662011918
9055,LOC_Os06g42810.1,0.584962501,0.662011918
9056,LOC_Os10g26670.1,-1.0,1.0
9057,LOC_Os04g45570.2,-1.0,0.698015283
9058,LOC_Os04g59140.1,-1.584962501,0.633460072
9059,LOC_Os01g26970.2,-1.584962501,0.633460072
9060,LOC_Os02g56980.1,-0.584962501,1.0
9061,LOC_Os04g49210.1,-1.0,1.0
9062,LOC_Os06g49080.1,0.0,1.0
9063,LOC_Os04g57500.1,0.0,1.0
9064,LOC_Os05g43670.1,0.0,1.0
9065,LOC_Os01g45960.2,-1.584962501,0.633460072
9066,LOC_Os04g21350.1,0.0,1.0
9067,LOC_Os11g07850.1,0.0,1.0
9068,LOC_Os12g34124.1,-0.584962501,1.0
9069,LOC_Os05g48410.1,0.0,1.0
9070,LOC_Os02g22380.1,-0.584962501,1.0
9071,LOC_Os03g59450.1,0.0,1.0
9072,LOC_Os01g29740.1,-1.0,1.0
9073,LOC_Os05g50440.1,0.0,1.0
9074,LOC_Os02g40514.2,0.584962501,0.662011918
9075,LOC_Os02g11750.1,0.0,1.0
9076,LOC_Os02g51350.1,-2.0,0.38910012
9077,LOC_Os12g01760.1,0.0,1.0
9078,LOC_Os10g41770.1,0.0,0.760104678
9079,LOC_Os07g20420.1,0.0,1.0
9080,LOC_Os01g01400.1,-1.0,1.0
9081,LOC_Os09g12730.2,-1.0,1.0
9082,LOC_Os02g40430.1,0.415037499,0.70761532
9083,LOC_Os06g06770.1,0.0,1.0
9084,LOC_Os03g20490.1,0.0,1.0
9085,LOC_Os11g36060.1,-1.0,0.698015283
9086,LOC_Os06g12860.1,0.0,1.0
9087,LOC_Os08g36774.1,-0.584962501,1.0
9088,LOC_Os01g63210.1,0.0,1.0
9089,LOC_Os05g33710.1,0.0,1.0
9090,LOC_Os06g47900.1,0.0,1.0
9091,LOC_Os03g53790.1,-0.736965594,0.73876108
9092,LOC_Os06g06490.1,-1.0,1.0
9093,LOC_Os03g15940.1,-1.0,1.0
9094,LOC_Os08g36420.2,0.0,1.0
9095,LOC_Os04g41160.1,0.0,1.0
9096,LOC_Os06g48060.1,0.0,1.0
9097,LOC_Os02g02540.1,-1.584962501,0.633460072
9098,LOC_Os06g39900.2,-1.0,1.0
9099,LOC_Os01g06020.1,-1.584962501,0.633460072
9100,LOC_Os06g49890.1,-0.736965594,0.73876108
9101,LOC_Os10g17990.1,-0.584962501,1.0
9102,LOC_Os02g09410.1,0.0,1.0
9103,LOC_Os03g31730.1,0.0,1.0
9104,LOC_Os09g20250.1,0.0,1.0
9105,LOC_Os12g26420.1,0.0,1.0
9106,LOC_Os01g49410.1,0.0,1.0
9107,LOC_Os09g02910.1,0.0,1.0
9108,LOC_Os03g46410.1,-0.652076697,0.813447599
9109,LOC_Os11g12740.1,0.0,1.0
9110,LOC_Os02g03530.1,0.415037499,0.70761532
9111,LOC_Os04g04254.1,1.0,0.417521697
9112,LOC_Os10g21290.1,-0.485426827,1.0
9113,LOC_Os05g06700.2,1.0,0.417521697
9114,LOC_Os03g11670.1,0.0,1.0
9115,LOC_Os01g56620.1,0.0,1.0
9116,LOC_Os04g35590.1,0.0,1.0
9117,LOC_Os01g10250.3,0.415037499,0.70761532
9118,LOC_Os02g52210.1,-1.584962501,0.633460072
9119,LOC_Os07g05050.3,-2.0,0.38910012
9120,LOC_Os03g51520.2,0.289506617,0.37614811
9121,LOC_Os04g33700.1,-1.584962501,0.633460072
9122,LOC_Os07g39820.1,0.0,1.0
9123,LOC_Os10g39710.1,0.0,1.0
9124,LOC_Os02g58570.1,0.485426827,0.392631489
9125,LOC_Os03g61110.1,-0.321928095,1.0
9126,LOC_Os09g34130.1,-0.584962501,1.0
9127,LOC_Os10g31856.1,0.0,1.0
9128,LOC_Os06g20080.1,0.0,1.0
9129,LOC_Os11g41140.1,0.0,1.0
9130,LOC_Os08g35470.1,-1.0,1.0
9131,LOC_Os02g51490.1,0.0,1.0
9132,LOC_Os08g05770.1,-2.0,0.38910012
9133,LOC_Os01g53130.1,0.0,1.0
9134,LOC_Os11g19800.1,-1.0,1.0
9135,LOC_Os05g04830.1,0.0,1.0
9136,LOC_Os03g20570.1,0.584962501,0.662011918
9137,LOC_Os05g39770.1,1.0,0.417521697
9138,LOC_Os06g45410.1,0.0,1.0
9139,LOC_Os02g27790.1,-0.736965594,0.73876108
9140,LOC_Os12g07970.2,-1.584962501,0.633460072
9141,LOC_Os01g08450.1,-1.0,0.698015283
9142,LOC_Os08g34170.1,0.0,1.0
9143,LOC_Os02g14530.1,-0.678071905,0.783549278
9144,LOC_Os04g44620.1,0.0,1.0
9145,LOC_Os02g04500.1,-1.0,0.698015283
9146,LOC_Os01g45370.1,-0.584962501,1.0
9147,LOC_Os02g06340.1,-1.0,1.0
9148,LOC_Os04g12480.1,0.0,1.0
9149,LOC_Os08g08205.1,0.0,1.0
9150,LOC_Os05g13330.1,-0.584962501,1.0
9151,LOC_Os04g43310.1,0.584962501,0.662011918
9152,LOC_Os01g31580.1,-0.736965594,0.73876108
9153,LOC_Os09g38630.1,0.0,1.0
9154,LOC_Os09g28480.1,-2.0,0.38910012
9155,LOC_Os10g28665.2,-0.321928095,1.0
9156,LOC_Os02g44111.1,-1.0,1.0
9157,LOC_Os01g36840.1,-0.584962501,1.0
9158,LOC_Os03g18970.1,0.584962501,0.357888847
9159,LOC_Os09g25490.1,0.0,1.0
9160,LOC_Os06g41790.1,0.584962501,0.357888847
9161,LOC_Os08g07840.1,0.0,1.0
9162,LOC_Os05g31620.1,0.0,1.0
9163,LOC_Os10g37100.1,0.0,1.0
9164,LOC_Os10g23090.1,-1.0,1.0
9165,LOC_Os02g12890.1,0.0,1.0
9166,LOC_Os09g20830.3,0.0,1.0
9167,LOC_Os03g10680.1,0.0,1.0
9168,LOC_Os04g33110.1,0.0,1.0
9169,LOC_Os12g40790.1,-0.584962501,1.0
9170,LOC_Os09g33520.1,-1.0,0.698015283
9171,LOC_Os06g33210.1,1.0,0.417521697
9172,LOC_Os03g44820.1,-1.0,1.0
9173,LOC_Os05g51000.2,0.0,1.0
9174,LOC_Os10g38820.1,-1.0,1.0
9175,LOC_Os03g05800.1,0.584962501,0.662011918
9176,LOC_Os05g15890.2,0.584962501,0.662011918
9177,LOC_Os04g41500.2,-2.0,0.38910012
9178,LOC_Os02g10650.1,-0.584962501,1.0
9179,LOC_Os06g40510.1,-0.263034406,1.0
9180,LOC_Os05g43560.1,-0.485426827,1.0
9181,LOC_Os09g19720.1,0.584962501,0.662011918
9182,LOC_Os01g53660.1,-1.584962501,0.633460072
9183,LOC_Os03g60600.1,0.0,1.0
9184,LOC_Os02g45590.1,0.0,1.0
9185,LOC_Os05g47780.1,-1.584962501,0.633460072
9186,LOC_Os07g15490.1,0.0,1.0
9187,LOC_Os03g59720.1,0.0,1.0
9188,LOC_Os07g38150.1,-1.0,1.0
9189,LOC_Os03g53770.1,0.415037499,0.70761532
9190,LOC_Os05g49900.1,0.0,1.0
9191,LOC_Os08g01410.1,0.0,0.760104678
9192,LOC_Os05g20660.1,-0.584962501,1.0
9193,LOC_Os04g32580.1,0.415037499,0.70761532
9194,LOC_Os01g02080.1,-0.584962501,1.0
9195,LOC_Os10g30420.1,-1.0,0.698015283
9196,LOC_Os08g08240.1,-0.736965594,0.73876108
9197,LOC_Os02g52880.1,-0.584962501,1.0
9198,LOC_Os05g29030.2,0.584962501,0.662011918
